instance,agent,run,seed,cost,return,done,route
Random_15_nodes,Classic_DP_base,28,10069,312.0,-312.0,True,"[4, 7, 14, 10, 2, 12, 8, 3, 13, 6, 0, 9, 11, 5, 1, 4]"
Random_15_nodes,A2C,28,10069,336.58819580078125,-336.58819580078125,True,"[4, 11, 9, 12, 8, 3, 10, 0, 7, 13, 6, 2, 14, 1, 5, 4]"
Random_15_nodes,PointerNet,28,10069,551.3699188232422,-551.3699188232422,True,"[4, 0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 4]"
Random_15_nodes,Heuristic,28,10069,209.87792015075684,-209.87792015075684,True,"[0, 6, 13, 4, 8, 12, 7, 11, 9, 14, 2, 5, 1, 10, 3, 0]"
Random_15_nodes,VI_optimal,29,10070,165.0,-165.0,True,"[1, 7, 14, 10, 3, 12, 8, 4, 13, 6, 0, 9, 11, 5, 2, 1]"
Random_15_nodes,Classic_DP_base,29,10070,165.0,-165.0,True,"[1, 7, 14, 10, 3, 12, 8, 4, 13, 6, 0, 9, 11, 5, 2, 1]"
Random_15_nodes,A2C,29,10070,327.0,-327.0,True,"[1, 11, 9, 12, 8, 4, 10, 0, 7, 13, 6, 3, 14, 2, 5, 1]"
Random_15_nodes,PointerNet,29,10070,548.0,-548.0,True,"[1, 0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 1]"
Random_15_nodes,Heuristic,29,10070,204.22575759887695,-204.22575759887695,True,"[0, 6, 13, 4, 8, 12, 7, 11, 9, 14, 2, 5, 1, 10, 3, 0]"
Random_15_nodes,VI_optimal,30,10071,537.6668968200684,-537.6668968200684,True,"[10, 6, 14, 9, 2, 12, 7, 3, 13, 5, 0, 8, 11, 4, 1, 10]"
Random_15_nodes,Classic_DP_base,30,10071,537.6668968200684,-537.6668968200684,True,"[10, 6, 14, 9, 2, 12, 7, 3, 13, 5, 0, 8, 11, 4, 1, 10]"
Random_15_nodes,A2C,30,10071,352.0,-352.0,True,"[10, 11, 8, 12, 7, 3, 9, 0, 6, 13, 5, 2, 14, 1, 4, 10]"
Random_15_nodes,PointerNet,30,10071,464.0,-464.0,True,"[10, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 10]"
Random_15_nodes,Heuristic,30,10071,208.0548553466797,-208.0548553466797,True,"[0, 6, 13, 4, 8, 12, 7, 11, 9, 14, 2, 5, 1, 10, 3, 0]"
